Parken Übersicht Monate;;;;;;;
;;;;;;;
Monate;false;true;Differenz monatlich;;;;
Februar;259;264;5;;;;
März;432;430;2;;;;
April;274;273;1;;;;
Mai;162;160;2;;;;
Juni;147;149;2;;;;
Juli;239;239;0;;;;
August;264;263;1;;;;
September;405;404;1;;;;
Oktober;56;59;3;;;;
Summe;2238;2241;17;;;;
;;;;;;;
im Schnitt sind die Parkplätze in einem Verhältnis von 50/50 frei oder belegt;;;;;;;minimale Tendenz zu mehr freien Parkplätzen ersichtlich
Abweichung in der Summe:;;;3;;;;
Abweichung monatlich:;;;17;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
